统计日期,冻结时间,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据,下注建议,未通过/通过原因
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-4 21:30 北京时间（东8区）,3059387,非联杯,ES扎兹斯 vs 迪雅宝罗斯,亚盘,其他系列,未识别,杯赛,一球,0.71-0.80,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,反向,反向,上盘,ES扎兹斯,0.7600,0.5910,0.5682,0.5882,19,0.7330,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.83/1.0/0.87 → 即 0.76/1.0/0.94,一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.76，下盘水位0.94，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率59.1% >= 阈值58.8%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-4 22:00 北京时间（东8区）,3037793,卡塔尔联,艾沙姆 vs 艾沙哈尼亚,亚盘,西亚/中亚系列,卡塔尔,顶级联赛,半球/一球,0.91-1.00,诱下/上盘降温,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,正向,正向,上盘,艾沙姆,0.9900,0.5430,0.5025,0.5225,13,0.6000,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.99/0.75/0.77 → 即 0.99/0.75/0.77,半球/一球,主队,上盘,下盘,亚盘意图候选：诱下 / 上盘降温（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.99，下盘水位0.77，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率54.3% >= 阈值52.3%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 00:00 北京时间（东8区）,2998104,丹麦甲,霍布罗 vs 哈维德夫,亚盘,欧洲非五大系列,丹麦,顶级联赛,平手,1.01-1.10,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,反向,反向,下盘,霍布罗,1.0300,0.5960,0.4926,0.5126,27,0.4740,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.82/-0.25/1.0 → 即 1.03/0.0/0.85,平手,客队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：客队上盘，让球退盘，上盘水位0.85，下盘水位1.03，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率59.6% >= 阈值51.3%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 00:15 北京时间（东8区）,3037794,卡塔尔联,鲁赛尔城 vs 威柯拉,亚盘,西亚/中亚系列,卡塔尔,顶级联赛,一球,1.01-1.10,阻上/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,正向,正向,上盘,威柯拉,1.0300,0.5240,0.4926,0.5126,8,0.5000,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.88/-0.75/0.88 → 即 0.73/-1.0/1.03,一球,客队,上盘,下盘,亚盘意图候选：阻上 / 诱下（低证据）。依据：客队上盘，让球加深，上盘水位1.03，下盘水位0.73，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率52.4% >= 阈值51.3%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 00:15 北京时间（东8区）,3057139,阿联酋超,迪拜祈祷 vs 豪尔费坎,亚盘,西亚/中亚系列,阿联酋,顶级联赛,球半,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,反向,反向,上盘,迪拜祈祷,0.8400,0.5990,0.5435,0.5635,7,0.5710,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.84/1.5/0.98 → 即 0.84/1.5/0.98,球半,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.84，下盘水位0.98，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率59.9% >= 阈值56.3%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 00:30 北京时间（东8区）,3019121,德乙,汉诺威96 vs 卡尔斯鲁厄,亚盘,欧洲五大系列,德国,非顶级联赛,半球/一球,0.81-0.90,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,正向,正向,上盘,汉诺威96,0.8600,0.6010,0.5376,0.5576,11,0.5560,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 1.02/1.0/0.86 → 即 0.86/0.75/1.02,半球/一球,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.86，下盘水位1.02，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率60.1% >= 阈值55.8%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 01:00 北京时间（东8区）,2912884,挪超,腓特烈斯塔 vs 博德闪耀,亚盘,欧洲非五大系列,挪威,顶级联赛,球半/两球,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,正向,正向,上盘,博德闪耀,0.9400,0.5540,0.5155,0.5355,6,0.4550,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.99/-1.5/0.89 → 即 0.94/-1.75/0.94,球半/两球,客队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：客队上盘，让球加深，上盘水位0.94，下盘水位0.94，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率55.4% >= 阈值53.5%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 01:00 北京时间（东8区）,2914682,瑞典甲,北雪平 vs 卢恩斯基尔,亚盘,欧洲非五大系列,瑞典,顶级联赛,一球,0.81-0.90,阻下/下盘保护,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,反向,反向,上盘,北雪平,0.8600,0.6040,0.5376,0.5576,2,1.0000,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.95/1.0/0.93 → 即 0.86/1.0/1.02,一球,主队,下盘,上盘,亚盘意图候选：阻下 / 下盘保护（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率60.4% >= 阈值55.8%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 01:00 北京时间（东8区）,2995329,法甲,里昂 vs 欧塞尔,亚盘,欧洲五大系列,法国,顶级联赛,一球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,反向,反向,上盘,里昂,0.8200,0.5870,0.5495,0.5695,19,0.7330,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.9/1.0/0.98 → 即 0.82/1.0/1.06,一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.06，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率58.7% >= 阈值56.9%；风控状态A-正常态
2026-09-04,2026-09-04 18:44:54,D:\codex\outputs\football_odds_trader\backups\strict_update_20260904_retry_20260904_184454\index.html,2026-09-04,2026-9-5 01:00 北京时间（东8区）,2998106,丹麦甲,靴尔科治 vs 希勒罗德,亚盘,欧洲非五大系列,丹麦,顶级联赛,平手,0.91-1.00,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-04 18:44:54,反向,反向,下盘,靴尔科治,1.0000,0.5960,0.5000,0.5200,27,0.4740,状态A-正常态,1.0000,25.0000,否,,,,待赛,赛前冻结，待赛果更新,开 0.79/-0.25/1.03 → 即 1.0/0.0/0.88,平手,客队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：客队上盘，让球退盘，上盘水位0.88，下盘水位1.00，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率59.6% >= 阈值52.0%；风控状态A-正常态
