日期,赛事,比赛,市场框架,模拟盘口/价格,模拟方向,赛果,模拟盈亏单位,模型更新
2026-09-05,乌克甲,梅塔利斯特 vs 基督教体育,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,梅塔利斯特3-1基督教体育,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,乌克超,克里夫巴斯 vs 高华尤夫卡,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,克里夫巴斯2-2高华尤夫卡,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职丙,FC爱媛 vs 北九州向日葵,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,FC爱媛4-2北九州向日葵,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职丙,枥木SC vs 高知联合,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,枥木SC2-0高知联合,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职丙,群马草津温泉 vs 福岛FC,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,群马草津温泉1-3福岛FC,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职丙,鸟取飞翔 vs 山口雷法,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,鸟取飞翔0-3山口雷法,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职丙,鹿儿岛联 vs FC琉球,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,鹿儿岛联2-1FC琉球,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职乙,山形山神 vs 甲府风林,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,山形山神1-2甲府风林,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职乙,德岛漩涡 vs 磐城FC,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,德岛漩涡1-0磐城FC,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-05,日职乙,湘南海洋 vs 仙台维加泰,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,湘南海洋1-3仙台维加泰,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
