日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性
2026-09-05,日职丙,成年联赛T3,FC爱媛 vs 北九州向日葵,4-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3001161-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.7/0.75/1.13,0.75,半球/一球,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.70，下盘水位1.13，欧赔削弱上盘,下盘,1.130,输,-1.0,-1.000,上盘,0.700,赢,+1.0,+0.700,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,日职丙,成年联赛T3,群马草津温泉 vs 福岛FC,1-3,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3001167-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.92/0.5/0.9,0.5,半球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.92，下盘水位0.90，欧赔削弱上盘,上盘,0.920,输,-1.0,-1.000,下盘,0.900,赢,+1.0,+0.900,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,日职乙,成年联赛T2,湘南海洋 vs 仙台维加泰,1-3,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3000060-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.8/-0.25/1.09,-0.25,平手/半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.09，下盘水位0.80，欧赔变化不大,上盘,1.090,赢,+1.0,+1.090,下盘,0.800,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,日职乙,成年联赛T2,鸟栖沙岩 vs 宫崎棒牛鸟,2-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3000059-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.85/0.0/1.04,0,平手,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.85，下盘水位1.04，欧赔支持上盘,上盘,0.850,赢,+1.0,+0.850,下盘,1.040,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,韩K2联,成年联赛T2,天安城 vs 华城FC,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2925529-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.98/-0.25/0.84,-0.25,平手/半球,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位0.84，下盘水位0.98，欧赔变化不大,上盘,0.840,输半,-0.5,-0.500,下盘,0.980,赢半,+0.5,+0.490,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,韩K2联,成年联赛T2,金海 vs 全南天龙,2-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2925530-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/0.0/0.99,0,平手,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位0.99，下盘水位0.83，欧赔支持上盘,上盘,0.990,走,0.0,0.000,下盘,0.830,走,-0.0,0.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,韩K2联,成年联赛T2,龙仁FC vs 水原FC,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2925531-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.0/-0.5/0.82,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.82，下盘水位1.00，欧赔变化不大,下盘,1.000,赢,+1.0,+1.000,上盘,0.820,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,韩K3联,成年联赛T3,蔚山市民 vs 庆州水利,1-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2940427-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.87/-0.75/0.99,-0.75,半球/一球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.99，下盘水位0.87，欧赔削弱上盘,上盘,0.990,赢半,+0.5,+0.495,下盘,0.870,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,韩K联,成年联赛T1,FC首尔 vs 仁川联,1-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2929714-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.05/0.75/0.84,0.75,半球/一球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.05，下盘水位0.84，欧赔削弱上盘,上盘,1.050,赢半,+0.5,+0.525,下盘,0.840,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,韩K联,成年联赛T1,富川FC vs 大田市民,0-5,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2929711-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.11/-0.5/0.79,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.79，下盘水位1.11，欧赔变化不大,下盘,1.110,输,-1.0,-1.000,上盘,0.790,赢,+1.0,+0.790,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
