日期,赛事,比赛,市场框架,模拟盘口/价格,模拟方向,赛果,模拟盈亏单位,模型更新
2026-09-04,乌克甲,SC波尔塔瓦 vs 伊尼胡列斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,SC波尔塔瓦0-0伊尼胡列斯,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,乌兹超,本尤德科 vs 特尔梅兹,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,本尤德科0-1特尔梅兹,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,哈萨克甲,卡斯比阿克套B队 vs 图兰突厥斯坦,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡斯比阿克套B队0-3图兰突厥斯坦,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,哈萨克甲,贾伊克 vs 叶利迈塞米B队,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,贾伊克2-0叶利迈塞米B队,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,阿联酋超,伊蒂哈德卡尔巴 vs 艾因,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,伊蒂哈德卡尔巴0-2艾因,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,乌兹超,纳曼干新春 vs 塔什干火车头,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,纳曼干新春1-1塔什干火车头,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,乌兹超,纳萨夫 vs 费尔干纳夫兹,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,纳萨夫6-2费尔干纳夫兹,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,卡塔尔联,艾沙姆 vs 艾沙哈尼亚,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,艾沙姆4-2艾沙哈尼亚,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,非联杯,ES扎兹斯 vs 迪雅宝罗斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,ES扎兹斯3-1迪雅宝罗斯,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,乌克超,普莱西亚 vs 库德里夫卡,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,普莱西亚5-1库德里夫卡,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,捷丙,布德约维茨迪纳摩 vs 杜卡拉B队,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,布德约维茨迪纳摩2-2杜卡拉B队,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,阿联酋甲,奥鲁巴 vs 阿尔咸拉,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奥鲁巴2-0阿尔咸拉,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,阿联酋甲,阿巴塔 vs 阿拉比欧姆古温,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,阿巴塔1-2阿拉比欧姆古温,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,非联杯,彭特靴尔 vs 罗阳体育,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,彭特靴尔1-1罗阳体育,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,阿联酋甲,海湾联 vs 泰德,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,海湾联2-3泰德,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,乌兹超,塔什干棉农 vs 安集延,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,塔什干棉农3-0安集延,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,科威特联,卡达西亚SC vs 纳沙,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡达西亚SC3-0纳沙,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,伊拉联,卡帕拉 vs 卡克,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,卡帕拉1-0卡克,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,伊拉联,阿尔沙马尔 vs 阿尔乔兰SC,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,阿尔沙马尔0-1阿尔乔兰SC,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,丹麦甲,瓦埃勒 vs 文德斯尔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,瓦埃勒4-1文德斯尔,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,丹麦甲,霍布罗 vs 哈维德夫,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,霍布罗1-3哈维德夫,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,捷乙,乌斯季 vs 布拉格斯拉维亚B队,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,乌斯季1-1布拉格斯拉维亚B队,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,捷乙,伊赫拉瓦 vs 切斯卡阿森纳,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,伊赫拉瓦2-0切斯卡阿森纳,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,捷乙,卡尔维纳 vs 卡列度,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡尔维纳2-0卡列度,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,捷乙,普罗斯捷约夫 vs 塔波斯科,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,普罗斯捷约夫1-1塔波斯科,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,捷乙,维拉斯姆 vs 特里内茨,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,维拉斯姆2-1特里内茨,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,沙特联,艾卜哈 vs 达曼协作,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,艾卜哈0-1达曼协作,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,卡塔尔联,鲁赛尔城 vs 威柯拉,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,鲁赛尔城4-0威柯拉,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,阿联酋超,迪拜祈祷 vs 豪尔费坎,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,迪拜祈祷5-2豪尔费坎,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,俄甲,伊凡诺沃 vs 莫斯科鱼雷,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,伊凡诺沃1-4莫斯科鱼雷,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,奥地利杯,卡芬堡 vs WSC赫塔威尔斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡芬堡0-1WSC赫塔威尔斯,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,奥地利杯,阿尔塔奇 vs 比史弗斯霍芬,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,阿尔塔奇7-0比史弗斯霍芬,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,德乙,比勒菲尔德 vs 圣保利,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,比勒菲尔德2-2圣保利,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,德乙,汉诺威96 vs 卡尔斯鲁厄,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,汉诺威962-2卡尔斯鲁厄,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
