日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性
2026-09-04,乌克甲,成年联赛T2,SC波尔塔瓦 vs 伊尼胡列斯,0-0,ledger赛果兜底,20260904-TITAN-3035637-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.78/0.5/0.92,0.5,半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.78，下盘水位0.92，欧赔变化不大,下盘,0.920,赢,+1.0,+0.920,上盘,0.780,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,哈萨克甲,未知分类,卡斯比阿克套B队 vs 图兰突厥斯坦,0-3,ledger赛果兜底,20260904-TITAN-2965026-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.78/-1.5/0.92,-1.5,球半,客队,诱下/上盘降温,客队上盘，让球基本稳定，上盘水位0.92，下盘水位0.78，欧赔变化不大,上盘,0.920,赢,+1.0,+0.920,下盘,0.780,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,阿联酋超,成年联赛T1,伊蒂哈德卡尔巴 vs 艾因,0-2,ledger赛果兜底,20260904-TITAN-3057138-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.91/-1.75/0.91,-1.75,球半/两球,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位0.91，下盘水位0.91，欧赔支持上盘,上盘,0.910,赢半,+0.5,+0.455,下盘,0.910,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,乌兹超,成年联赛T1,纳曼干新春 vs 塔什干火车头,1-1,ledger赛果兜底,20260904-TITAN-2933134-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.76/0.75/1.11,0.75,半球/一球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.76，下盘水位1.11，欧赔变化不大,下盘,1.110,赢,+1.0,+1.110,上盘,0.760,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,非联杯,国内杯赛,ES扎兹斯 vs 迪雅宝罗斯,3-1,ledger赛果兜底,20260904-TITAN-3059387-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.92/1.25/0.84,1.25,一球/球半,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.92，下盘水位0.84，欧赔削弱上盘,上盘,0.920,赢,+1.0,+0.920,下盘,0.840,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,乌克超,成年联赛T1,普莱西亚 vs 库德里夫卡,5-1,ledger赛果兜底,20260904-TITAN-3012505-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.8/1.75/1.08,1.75,球半/两球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.80，下盘水位1.08，欧赔变化不大,下盘,1.080,输,-1.0,-1.000,上盘,0.800,赢,+1.0,+0.800,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,阿联酋甲,成年联赛T2,奥鲁巴 vs 阿尔咸拉,2-0,ledger赛果兜底,20260904-TITAN-3032914-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.96/1.25/0.8,1.25,一球/球半,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.96，下盘水位0.80，欧赔变化不大,上盘,0.960,赢,+1.0,+0.960,下盘,0.800,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,阿联酋甲,成年联赛T2,阿巴塔 vs 阿拉比欧姆古温,1-2,ledger赛果兜底,20260904-TITAN-3032913-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.77/0.0/0.99,0,平手,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.77，下盘水位0.99，欧赔变化不大,下盘,0.990,赢,+1.0,+0.990,上盘,0.770,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,非联杯,国内杯赛,彭特靴尔 vs 罗阳体育,1-1,ledger赛果兜底,20260904-TITAN-3059378-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/0.25/0.93,0.25,平手/半球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.83，下盘水位0.93，欧赔支持上盘,上盘,0.830,输半,-0.5,-0.500,下盘,0.930,赢半,+0.5,+0.465,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-04,丹麦甲,成年联赛T2,瓦埃勒 vs 文德斯尔,4-1,ledger赛果兜底,20260904-TITAN-2998105-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.95/1.25/0.94,1.25,一球/球半,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.95，下盘水位0.94，欧赔削弱上盘,上盘,0.950,赢,+1.0,+0.950,下盘,0.940,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
