date,match_id,matched_raw,valid,saved_intent,reconstructed_intent,agree,source,home_sign_switch
2026-09-14,3017156,True,True,阻上/诱下,阻上/诱下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3085206,True,True,阻上/诱下,阻上/诱下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3010425,True,True,真实示强/阻上,真实示强/阻上,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3021980,True,True,阻上/诱下,阻上/诱下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3021983,True,True,阻下/下盘保护,阻下/下盘保护,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3012513,True,True,阻下/下盘保护,阻下/下盘保护,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3037910,True,True,阻下/下盘保护,阻下/下盘保护,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,2924132,True,True,诱上/阻下,诱上/阻下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,2954805,True,True,诱上/阻下,诱上/阻下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,2967877,True,True,真实示强/阻上,真实示强/阻上,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,2968244,True,True,真实示强/阻上,真实示强/阻上,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3022064,True,True,降温保护/诱下,降温保护/诱下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3048488,True,True,降温保护/诱下,降温保护/诱下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3068926,True,True,阻上/诱下,阻上/诱下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,3068927,True,True,阻下/下盘保护,阻下/下盘保护,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
2026-09-14,2997522,True,True,真实示弱/阻下,真实示弱/阻下,True,D:\codex\v4_diagnostics\baseline\raw\shared\2026-09-14\20260914T141627Z\snapshot.json,False
