date,match_id,code,detail
2026-09-13,2925339,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,2925339,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,2925339,rank_missing,no actual cross-match ranking computed
2026-09-13,2925339,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,2940435,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,2940435,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,2940435,rank_missing,no actual cross-match ranking computed
2026-09-13,2940435,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,2940438,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,2940438,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,2940438,rank_missing,no actual cross-match ranking computed
2026-09-13,2940438,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,2940436,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,2940436,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,2940436,rank_missing,no actual cross-match ranking computed
2026-09-13,2940436,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,2940437,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,2940437,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,2940437,rank_missing,no actual cross-match ranking computed
2026-09-13,2940437,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3043203,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3043203,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3043203,rank_missing,no actual cross-match ranking computed
2026-09-13,3043203,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3009489,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3009489,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3009489,rank_missing,no actual cross-match ranking computed
2026-09-13,3009489,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3043201,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3043201,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3043201,rank_missing,no actual cross-match ranking computed
2026-09-13,3043201,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3009372,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3009372,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3009372,rank_missing,no actual cross-match ranking computed
2026-09-13,3009372,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3043202,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3043202,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3043202,rank_missing,no actual cross-match ranking computed
2026-09-13,3043202,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3009369,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3009369,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3009369,rank_missing,no actual cross-match ranking computed
2026-09-13,3009369,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3040123,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3040123,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3040123,rank_missing,no actual cross-match ranking computed
2026-09-13,3040123,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3086962,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3086962,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3086962,rank_missing,no actual cross-match ranking computed
2026-09-13,3086962,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3086961,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3086961,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3086961,rank_missing,no actual cross-match ranking computed
2026-09-13,3086961,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3001179,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3001179,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3001179,rank_missing,no actual cross-match ranking computed
2026-09-13,3001179,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3001180,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3001180,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3001180,rank_missing,no actual cross-match ranking computed
2026-09-13,3001180,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3000072,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3000072,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3000072,rank_missing,no actual cross-match ranking computed
2026-09-13,3000072,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3000063,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3000063,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3000063,rank_missing,no actual cross-match ranking computed
2026-09-13,3000063,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3000460,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3000460,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3000460,rank_missing,no actual cross-match ranking computed
2026-09-13,3000460,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3001177,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3001177,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3001177,rank_missing,no actual cross-match ranking computed
2026-09-13,3001177,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3000459,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3000459,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
2026-09-13,3000459,rank_missing,no actual cross-match ranking computed
2026-09-13,3000459,nonunique_snapshot_id,literal filename stem rather than unique timestamp id
2026-09-13,3001174,missing_quote_timestamp,cannot infer quote time from observed_at/file mtime
2026-09-13,3001174,legacy_identity_not_certified,legacy selected favorite; lacks Titan signed giving/receiving fields
